Ref_tRNA,Genome,Count_Type,Trt,Acid_Phenol,Trizol
nuclear-Ath-ThrCGT-171711,Nuclear,Non-CC/CCA,Periodate Oxidation,0.323639567,0.324738533
nuclear-Ath-ThrCGT-171710,Nuclear,CCA,Control,0.782996509,0.804930958
nuclear-Ath-ThrCGT-171710,Nuclear,CCA,Periodate Oxidation,0.480324238,0.494216536
nuclear-Ath-ThrCGT-171710,Nuclear,Non-CC/CCA,Control,0.15497233,0.156233082
nuclear-Ath-ThrCGT-171710,Nuclear,Non-CC/CCA,Periodate Oxidation,0.337715031,0.352871296
nuclear-Ath-ThrCGT-171709,Nuclear,CCA,Control,0.73263529,0.755559984
nuclear-Ath-ThrCGT-171709,Nuclear,CCA,Periodate Oxidation,0.442519932,0.455310726
nuclear-Ath-ThrCGT-171709,Nuclear,Non-CC/CCA,Control,0.124237477,0.141403207
nuclear-Ath-ThrCGT-171709,Nuclear,Non-CC/CCA,Periodate Oxidation,0.287380939,0.290441154
nuclear-Ath-ThrAGT-171731,Nuclear,CCA,Control,0.732889299,0.761042576
nuclear-Ath-ThrAGT-171731,Nuclear,CCA,Periodate Oxidation,0.532012807,0.561581247
nuclear-Ath-ThrAGT-171731,Nuclear,Non-CC/CCA,Control,0.253288489,0.24791757
nuclear-Ath-ThrAGT-171731,Nuclear,Non-CC/CCA,Periodate Oxidation,0.614843442,0.602226666
nuclear-Ath-ThrAGT-171723,Nuclear,CCA,Control,0.740940142,0.745370911
nuclear-Ath-ThrAGT-171723,Nuclear,CCA,Periodate Oxidation,0.559807264,0.581617197
nuclear-Ath-ThrAGT-171723,Nuclear,Non-CC/CCA,Control,0.268062081,0.26568036
nuclear-Ath-ThrAGT-171723,Nuclear,Non-CC/CCA,Periodate Oxidation,0.576425667,0.562544466
nuclear-Ath-ThrAGT-171722,Nuclear,CCA,Control,0.674283779,0.697244752
nuclear-Ath-ThrAGT-171722,Nuclear,CCA,Periodate Oxidation,0.533774058,0.513356659
nuclear-Ath-ThrAGT-171722,Nuclear,Non-CC/CCA,Control,0.356545471,0.355261485
nuclear-Ath-ThrAGT-171722,Nuclear,Non-CC/CCA,Periodate Oxidation,0.585529042,0.598055606
nuclear-Ath-SerTGA-171793,Nuclear,CCA,Control,0.522796128,0.574178853
